Designator,Footprint,Quantity,Value,LCSC Part #
"C1_6, C1_5, C1_4, C1_3, C1_2, C1",0402,6,10n,
"C10_6, C10_5, C10_4, C10_3, C10_2, C10, C11_6, C11_5, C11_4, C11_3, C11_2, C11, C2_6, C2_5, C2_4, C2_3, C2_2, C2, C3_6, C3_5, C3_4, C3_3, C3_2, C3, C8_6, C8_5, C8_4, C8_3, C8_2, C8, CC1_6, CC1_5, CC1_4, CC1_3, CC1_2, CC1, CC2_6, CC2_5, CC2_4, CC2_3, CC2_2, CC2, CF2_6, CF2_5, CF2_4, CF2_3, CF2_2, CF2, CM2_6, CM2_5, CM2_4, CM2_3, CM2_2, CM2, CR1_6, CR1_5, CR1_4, CR1_3, CR1_2, CR1",0402,60,100n,
"C21_6, C21_5, C21_4, C21_3, C21_2, C21, C22_6, C22_5, C22_4, C22_3, C22_2, C22",0402,12,5.6p,
"C23_6, C23_5, C23_4, C23_3, C23_2, C23, C5_6, C5_5, C5_4, C5_3, C5_2, C5",0603,12,4.7u,
"C4_6, C4_5, C4_4, C4_3, C4_2, C4, C6_6, C6_5, C6_4, C6_3, C6_2, C6",0603,12,1u/10V/X7R,
"C7_6, C7_5, C7_4, C7_3, C7_2, C7",CP_EIA-3528-21_Kemet-B_HandSolder,6,100u/6.3V/TAN,
"C9_6, C9_5, C9_4, C9_3, C9_2, C9",0402,6,10p,
"CF1_6, CF1_5, CF1_4, CF1_3, CF1_2, CF1",0805,6,1n,
"CF3_6, CF3_5, CF3_4, CF3_3, CF3_2, CF3, CM1_6, CM1_5, CM1_4, CM1_3, CM1_2, CM1",0402,12,1N,
"J1_6, J1_5, J1_4, J1_3, J1_2, J1",SolderWirePad_1x01_SMD_1x2mm,6,LSCO,
"J2_6, J2_5, J2_4, J2_3, J2_2, J2",SolderWirePad_1x01_SMD_1x2mm,6,RTC_OUT1,
"J3V3_6, J3V3_5, J3V3_4, J3V3_3, J3V3_2, J3V3, J5V0_6, J5V0_5, J5V0_4, J5V0_3, J5V0_2, J5V0",PinHeader_1x02_P2.54mm_Vertical,12,Conn_01x02,
"JANT1_6, JANT1_5, JANT1_4, JANT1_3, JANT1_2, JANT1",PinHeader_1x02_P2.54mm_Vertical,6,DCF77_Ferrite_Ant,
"JSER1_6, JSER1_5, JSER1_4, JSER1_3, JSER1_2, JSER1",PinHeader_1x04_P2.54mm_Vertical,6,Conn_01x04,
"JSER2_6, JSER2_5, JSER2_4, JSER2_3, JSER2_2, JSER2, JSWD1_6, JSWD1_5, JSWD1_4, JSWD1_3, JSWD1_2, JSWD1",PinHeader_1x05_P2.54mm_Vertical,12,Conn_01x05,
"Q1_6, Q1_5, Q1_4, Q1_3, Q1_2, Q1",SOT-363_SC-70-6_Handsoldering,6,BSS138DW,
"R1_6, R1_5, R1_4, R1_3, R1_2, R1, R2_6, R2_5, R2_4, R2_3, R2_2, R2, R3_6, R3_5, R3_4, R3_3, R3_2, R3, RF1_6, RF1_5, RF1_4, RF1_3, RF1_2, RF1, RF2_6, RF2_5, RF2_4, RF2_3, RF2_2, RF2",0402,30,1M/1%,
"R4_6, R4_5, R4_4, R4_3, R4_2, R4, RG2_6, RG2_5, RG2_4, RG2_3, RG2_2, RG2, RM1_6, RM1_5, RM1_4, RM1_3, RM1_2, RM1, RM2_6, RM2_5, RM2_4, RM2_3, RM2_2, RM2, RM4_6, RM4_5, RM4_4, RM4_3, RM4_2, RM4",0402,30,1k/1%,
"RF3_6, RF3_5, RF3_4, RF3_3, RF3_2, RF3, RF4_6, RF4_5, RF4_4, RF4_3, RF4_2, RF4",0402,12,3.3k/1%,
"RG1_6, RG1_5, RG1_4, RG1_3, RG1_2, RG1, RM3_6, RM3_5, RM3_4, RM3_3, RM3_2, RM3",0402,12,100/1%,
"RG3_6, RG3_5, RG3_4, RG3_3, RG3_2, RG3, RR1_6, RR1_5, RR1_4, RR1_3, RR1_2, RR1",0402,12,10k/1%,
"RG4_6, RG4_5, RG4_4, RG4_3, RG4_2, RG4",0402,6,100k/1%,
"U1_6, U1_5, U1_4, U1_3, U1_2, U1",QFN-28_4x4mm_P0.5mm,6,STM32C071G8UxN,
"U2_6, U2_5, U2_4, U2_3, U2_2, U2",SOT-23-5,6,LP5907MFX-3.3,
"U3_6, U3_5, U3_4, U3_3, U3_2, U3",SOT-23-5,6,LM321LV,
"USBA1_6, USBA1_5, USBA1_4, USBA1_3, USBA1_2, USBA1",USB_A_PCB_Edge_receptacle,6,USB_A_PCB_Edge_receptacle,
"Y1_6, Y1_5, Y1_4, Y1_3, Y1_2, Y1",Crystal_SMD_Seiko_SSPT7F-4Pin_6.7x1.5mm_HandSoldering,6,SSPT7F-9PF10-R,
